Date;Open;High;Low;Close;Volume;Adj Close;lnret
26/03/03;11248;11296;11186;11206;0;11206;-0,002317498
27/03/03;11204;11262;11036;11233;0;11233;0,002406526
28/03/03;11273;11421;11221;11396;0;11396;0,014406542
31/03/03;11387;11387;11215;11274;0;11274;-0,010763227
1/04/03;11283;11617;11283;11592;0;11592;0,027816015
2/04/03;11615;11998;11602;11872;0;11872;0,023867481
3/04/03;11877;12132;11876;12006;0;12006;0,011223838
4/04/03;12014;12135;11924;12066;0;12066;0,004985055
7/04/03;12154;12436;12120;12136;0;12136;0,005784662
8/04/03;12124;12136;11732;11779;0;11779;-0,029857957
9/04/03;11784;11904;11754;11759;0;11759;-0,00169938
10/04/03;11784;11819;11578;11591;0;11591;-0,01438997
11/04/03;11614;11753;11608;11719;0;11719;0,010982521
14/04/03;11726;11889;11719;11874;0;11874;0,01313968
15/04/03;11865;12111;11828;12106;0;12106;0,019350062
16/04/03;12120;12245;12012;12043;0;12043;-0,005217619
17/04/03;12052;12432;12052;12395;0;12395;0,028809587
22/04/03;12393;12502;12245;12452;0;12452;0,004588087
23/04/03;12455;12455;12315;12394;0;12394;-0,004668768
24/04/03;12370;12383;12100;12120;0;12120;-0,022355504
25/04/03;12124;12185;12059;12126;0;12126;0,000494927
28/04/03;12128;12480;12009;12462;0;12462;0,027332106
29/04/03;12470;12820;12470;12678;0;12678;0,017184194
30/04/03;12713;12746;12557;12557;0;12557;-0,009589929
5/05/03;12829;12870;12717;12833;0;12833;0,021741699
7/05/03;12669;12981;12664;12956;0;12956;0,009539023
8/05/03;12969;13028;12864;12921;0;12921;-0,002705107
9/05/03;12950;13247;12950;13214;0;13214;0,022422979
12/05/03;13206;13345;13096;13320;0;13320;0,007989792
13/05/03;13322;13565;13316;13421;0;13421;0,007553979
14/05/03;13428;13483;13336;13459;0;13459;0,002827383
15/05/03;13465;13465;13092;13130;0;13130;-0,024748339
16/05/03;13143;13225;12877;13225;0;13225;0,007209289
19/05/03;13179;13182;12732;12746;0;12746;-0,036891481
20/05/03;12753;12753;12576;12745;0;12745;-7,85E+05
21/05/03;12749;13077;12711;13034;0;13034;0,02242229
22/05/03;13031;13173;12971;13101;0;13101;0,005127235
23/05/03;13101;13246;13029;13143;0;13143;0,003200734
26/05/03;13149;13239;12852;12852;0;12852;-0,022389856
27/05/03;12861;13321;12859;13246;0;13246;0,030196179
28/05/03;13257;13427;13257;13294;0;13294;0,003617186
29/05/03;13303;13507;13301;13405;0;13405;0,008314966
30/05/03;13413;13541;13312;13422;0;13422;0,00126738
2/06/03;13441;13505;13212;13229;0;13229;-0,014483762
3/06/03;13231;13350;13106;13350;0;13350;0,009104995
4/06/03;13386;13760;13374;13718;0;13718;0,027192454
5/06/03;13690;13908;13588;13780;0;13780;0,004509427
6/06/03;13794;14071;13794;13923;0;13923;0,010323883
